"geoRegion","datum","entries","sumTotal","timeframe_7d","offset_last7d","sumTotal_last7d","timeframe_14d","offset_last14d","sumTotal_last14d","timeframe_28d","offset_last28d","sumTotal_last28d","timeframe_phase2","offset_Phase2","sumTotal_Phase2","timeframe_phase2b","offset_Phase2b","sumTotal_Phase2b","sum7d","sum14d","mean7d","mean14d","timeframe_all","entries_diff_last_age","pop","inz_entries","inzmean7d","inzmean14d","inzsumTotal","inzsumTotal_last7d","inzsumTotal_last14d","inzsumTotal_last28d","inzsumTotal_Phase2","inzsumTotal_Phase2b","inzsum7d","inzsum14d","sumdelta7d","inzdelta7d","type","type_variant","version","datum_unit","entries_letzter_stand","entries_neu_gemeldet","entries_diff_last"
"CH",2020-02-24,1,1,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,NA,NA,NA,NA,TRUE,1,8606033,0.01,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-02-04_07-48-55","day",1,0,1759
"CH",2020-02-25,1,2,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,NA,NA,NA,NA,TRUE,1,8606033,0.01,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-02-04_07-48-55","day",1,0,1759
"CH",2020-02-26,10,12,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,NA,NA,NA,NA,TRUE,1,8606033,0.12,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-02-04_07-48-55","day",10,0,1759
"CH",2020-02-27,10,22,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,NA,NA,8,NA,TRUE,1,8606033,0.12,0.09,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-02-04_07-48-55","day",10,0,1759
"CH",2020-02-28,10,32,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,NA,NA,12.14,NA,TRUE,1,8606033,0.12,0.14,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-02-04_07-48-55","day",10,0,1759
"CH",2020-02-29,13,45,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,NA,NA,16.71,NA,TRUE,1,8606033,0.15,0.19,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-02-04_07-48-55","day",13,0,1759
"CH",2020-03-01,11,56,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,56,NA,24,30.86,TRUE,1,8606033,0.13,0.28,0.36,0.65,NA,NA,NA,NA,NA,0.65,NA,NA,NA,"COVID19Cases","","2021-02-04_07-48-55","day",11,0,1759
"CH",2020-03-02,30,86,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,85,NA,31.43,44.5,TRUE,1,8606033,0.35,0.37,0.52,1,NA,NA,NA,NA,NA,0.99,NA,29,0.34,"COVID19Cases","","2021-02-04_07-48-55","day",30,0,1759
"CH",2020-03-03,33,119,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,117,NA,40.43,59.43,TRUE,1,8606033,0.38,0.47,0.69,1.38,NA,NA,NA,NA,NA,1.36,NA,32,0.37,"COVID19Cases","","2021-02-04_07-48-55","day",33,0,1759
"CH",2020-03-04,61,180,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,168,NA,45.57,82.5,TRUE,1,8606033,0.71,0.53,0.96,2.09,NA,NA,NA,NA,NA,1.95,NA,51,0.59,"COVID19Cases","","2021-02-04_07-48-55","day",61,0,1759
"CH",2020-03-05,62,242,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,220,NA,53.71,107.21,TRUE,1,8606033,0.72,0.62,1.25,2.81,NA,NA,NA,NA,NA,2.56,NA,52,0.61,"COVID19Cases","","2021-02-04_07-48-55","day",62,0,1759
"CH",2020-03-06,73,315,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,283,NA,76.86,137.29,TRUE,1,8606033,0.85,0.89,1.6,3.66,NA,NA,NA,NA,NA,3.29,NA,63,0.73,"COVID19Cases","","2021-02-04_07-48-55","day",73,0,1759
"CH",2020-03-07,49,364,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,319,NA,102.14,166.07,TRUE,1,8606033,0.57,1.19,1.93,4.23,NA,NA,NA,NA,NA,3.71,NA,36,0.42,"COVID19Cases","","2021-02-04_07-48-55","day",49,0,1759
"CH",2020-03-08,68,432,FALSE,517587,0,FALSE,505474,0,FALSE,473577,0,FALSE,30941,0,FALSE,52685,0,376,432,141,188.5,TRUE,1,8606033,0.79,1.64,2.19,5.02,NA,NA,NA,NA,NA,4.37,5.02,57,0.66,"COVID19Cases","","2021-02-04_07-48-55","day",68,0,1759
