"date","geoRegion","entries","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity"
2020-12-23,"AI",13,16128,13,0.08,NA,0.08,NA,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2020-12-24,"AI",31,16128,44,0.19,NA,0.27,NA,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2020-12-25,"AI",0,16128,44,0,NA,0.27,NA,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2020-12-26,"AI",0,16128,44,0,0.04,0.27,6.29,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2020-12-27,"AI",0,16128,44,0,0.03,0.27,4.43,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2020-12-28,"AI",0,16128,44,0,0,0.27,0,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2020-12-29,"AI",0,16128,44,0,0,0.27,0,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2020-12-30,"AI",0,16128,44,0,0,0.27,0,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2020-12-31,"AI",0,16128,44,0,0,0.27,0,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-01,"AI",0,16128,44,0,0.02,0.27,2.86,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-02,"AI",0,16128,44,0,0.18,0.27,29.57,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-03,"AI",0,16128,44,0,0.24,0.27,39.57,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-04,"AI",20,16128,64,0.12,0.28,0.4,44.71,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-05,"AI",187,16128,251,1.16,0.31,1.56,50.29,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-06,"AI",70,16128,321,0.43,0.31,1.99,50.29,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-07,"AI",36,16128,357,0.22,0.31,2.21,50.29,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-08,"AI",39,16128,396,0.24,0.33,2.46,53.29,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-09,"AI",0,16128,396,0,0.24,2.46,39.29,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-10,"AI",0,16128,396,0,0.21,2.46,34.14,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-11,"AI",41,16128,437,0.25,0.18,2.71,29.86,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-12,"AI",89,16128,526,0.55,0.17,3.26,27.71,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-13,"AI",34,16128,560,0.21,0.17,3.47,27.71,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-14,"AI",6,16128,566,0.04,0.17,3.51,27.71,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-15,"AI",24,16128,590,0.15,0.18,3.66,29,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-16,"AI",0,16128,590,0,0.22,3.66,35.14,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-17,"AI",0,16128,590,0,0.25,3.66,40.57,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-18,"AI",50,16128,640,0.31,0.28,3.97,45.71,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-19,"AI",132,16128,772,0.82,0.32,4.79,51.14,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-20,"AI",72,16128,844,0.45,0.32,5.23,51.14,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-21,"AI",42,16128,886,0.26,0.32,5.49,51.14,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-22,"AI",62,16128,948,0.38,0.3,5.88,47.71,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-23,"AI",0,16128,948,0,0.29,5.88,47.57,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-24,"AI",0,16128,948,0,0.23,5.88,37.29,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-25,"AI",26,16128,974,0.16,0.2,6.04,32.14,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
2021-01-26,"AI",131,16128,1105,0.81,0.15,6.85,24.86,"COVID19VaccDosesAdministered","2021-05-11_09-25-50","detailed"
