date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-22,AG,0,685845,0,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2020-12-23,AG,0,685845,0,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2020-12-24,AG,0,685845,0,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2020-12-25,AG,0,685845,0,0,0,0,13.71,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2020-12-26,AG,0,685845,0,0,0,0,22.29,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2020-12-27,AG,0,685845,0,0,0,0,32,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2020-12-28,AG,96,685845,96,0.01,0,0.01,32,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2020-12-29,AG,60,685845,156,0.01,0,0.02,32.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2020-12-30,AG,68,685845,224,0.01,0,0.03,32.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2020-12-31,AG,0,685845,224,0,0,0.03,32.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-01,AG,1,685845,225,0,0,0.03,18.57,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-02,AG,0,685845,225,0,0.01,0.03,74.86,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-03,AG,0,685845,225,0,0.02,0.03,132.43,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-04,AG,1,685845,226,0,0.04,0.03,235.57,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-05,AG,454,685845,680,0.07,0.05,0.1,327.29,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-06,AG,471,685845,1151,0.07,0.05,0.17,358.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-07,AG,722,685845,1873,0.11,0.05,0.27,358.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-08,AG,643,685845,2516,0.09,0.06,0.37,428,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-09,AG,216,685845,2732,0.03,0.07,0.4,481.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-10,AG,0,685845,2732,0,0.07,0.4,513.57,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-11,AG,490,685845,3222,0.07,0.07,0.47,510,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-12,AG,826,685845,4048,0.12,0.07,0.59,484.43,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-13,AG,698,685845,4746,0.1,0.07,0.69,485.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-14,AG,697,685845,5443,0.1,0.07,0.79,485.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-15,AG,464,685845,5907,0.07,0.08,0.86,535.71,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-16,AG,221,685845,6128,0.03,0.08,0.89,542.43,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-17,AG,0,685845,6128,0,0.09,0.89,636,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-18,AG,844,685845,6972,0.12,0.11,1.02,771.71,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-19,AG,873,685845,7845,0.13,0.13,1.14,863.86,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-20,AG,1353,685845,9198,0.2,0.12,1.34,849.57,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-21,AG,1647,685845,10845,0.24,0.12,1.58,849.57,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-22,AG,1109,685845,11954,0.16,0.13,1.74,903.43,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-23,AG,121,685845,12075,0.02,0.15,1.76,989.43,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-24,AG,0,685845,12075,0,0.14,1.76,935.29,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-25,AG,1221,685845,13296,0.18,0.13,1.94,900,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-26,AG,1475,685845,14771,0.22,0.13,2.15,902,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-27,AG,974,685845,15745,0.14,0.13,2.3,885,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-28,AG,1400,685845,17145,0.2,0.13,2.5,885,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-29,AG,1123,685845,18268,0.16,0.12,2.66,796,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-30,AG,2,685845,18270,0,0.11,2.66,772.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-01-31,AG,0,685845,18270,0,0.12,2.66,857,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-02-01,AG,598,685845,18868,0.09,0.12,2.75,831.29,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-02-02,AG,1308,685845,20176,0.19,0.13,2.94,857.71,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-02-03,AG,1568,685845,21744,0.23,0.13,3.17,864.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-02-04,AG,1220,685845,22964,0.18,0.13,3.35,864.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-02-05,AG,1308,685845,24272,0.19,0.13,3.54,873.29,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-02-06,AG,47,685845,24319,0.01,0.12,3.55,843,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-02-07,AG,0,685845,24319,0,0.12,3.55,796.71,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-02-08,AG,662,685845,24981,0.1,0.12,3.64,785.14,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-02-09,AG,1096,685845,26077,0.16,0.11,3.8,753.86,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
2021-02-10,AG,1244,685845,27321,0.18,0.11,3.98,748.43,COVID19AtLeastOneDosePersons,2021-06-01_09-31-55,detailed
